date,weight_lbs,weight_7d_avg,weight_30d_avg,body_fat_pct
2019-11-29,251.0,251.0,251.0,
2020-02-25,240.0,240.0,240.0,
2021-06-21,313.0,313.0,313.0,
2022-03-26,336.0,336.0,336.0,
2022-07-08,328.9,328.9,328.9,49.5
2022-07-09,324.5,326.7,326.7,
2022-07-10,325.2,326.2,326.2,
2022-07-11,326.7,326.3,326.3,
2022-07-13,327.0,326.5,326.5,
2022-07-16,325.6,326.1,326.3,
2022-07-17,326.7,326.5,326.4,
2022-07-19,327.8,326.8,326.6,
2022-07-29,327.2,327.2,326.6,
2022-08-06,326.5,326.5,326.6,
2022-08-11,328.25,327.4,327.0,
2022-08-30,331.4,331.4,328.7,
2022-09-09,331.8,331.8,330.5,
2022-10-08,332.0,332.0,331.9,
2022-11-01,331.8666666666667,331.9,331.9,
2022-11-08,334.4,334.4,333.1,
2022-11-20,332.5,332.5,332.9,
2022-11-27,332.0,332.0,332.7,
2022-11-28,331.8,331.9,332.5,
2022-11-30,332.0,331.9,332.4,
2022-12-05,335.1,333.6,333.0,
2022-12-06,334.9,334.0,333.2,
2022-12-11,336.4,335.5,333.5,
2022-12-12,336.9,336.1,334.0,
2022-12-17,333.1,335.5,333.9,
2022-12-18,332.2,334.1,333.7,
2022-12-26,332.0,332.0,333.6,
2022-12-30,332.0,332.0,334.1,
2022-12-31,331.1,331.7,333.7,
2023-01-25,332.9,332.9,332.0,
2023-02-03,331.1,331.1,332.0,
2023-02-24,331.4,331.4,331.2,
2023-03-17,334.0,334.0,332.7,
2023-05-12,330.7,330.7,330.7,
2023-06-29,325.6,325.6,325.6,
2023-07-01,322.3,324.0,324.0,
2023-07-02,320.6,322.8,322.8,
2023-07-06,317.5,320.1,321.5,
2023-07-08,316.6,318.2,320.5,
2023-07-09,315.0,316.4,319.6,
2023-07-10,313.9,315.8,318.8,
2023-07-11,313.1,315.2,318.1,
2023-07-14,313.7,314.5,317.6,
2023-07-19,307.8,310.8,316.6,
2023-07-22,310.2,309.0,316.0,
2023-07-23,309.85,309.3,315.5,
2023-07-25,311.5,309.8,315.2,
2023-07-26,309.5,310.3,314.8,
2023-07-27,308.9,310.0,314.4,44.7
2023-07-28,308.6,309.8,314.0,
2023-08-02,306.7,308.1,311.6,
2023-08-05,304.7,305.7,310.7,
2023-08-08,302.9,304.8,309.3,
2023-08-11,302.7,303.4,308.1,
2023-08-13,303.6,303.1,307.2,
2023-08-19,299.2,301.4,306.5,
2023-08-21,298.1,298.6,305.5,
2023-08-22,296.7,298.0,304.4,
2023-08-23,296.5,297.6,303.8,
2023-08-25,294.1,296.9,301.9,
2023-08-26,294.8,296.0,300.7,
2023-08-27,294.3,295.8,299.5,
2023-08-28,295.0,295.2,299.2,
2023-08-29,294.8,294.9,298.9,
2023-08-30,293.0,294.3,298.5,
2023-08-31,293.4,294.2,298.2,
2023-09-02,295.5,294.3,297.5,
2023-09-03,293.2,294.2,297.2,
2023-09-04,294.3,294.0,296.6,
2023-09-06,294.8,294.2,296.5,
2023-09-07,292.3,294.0,295.9,
2023-09-11,290.8,292.6,295.2,
2023-09-12,290.8,292.2,294.5,
2023-09-15,293.45,291.7,294.5,
2023-09-16,292.6,291.9,294.4,
2023-09-17,293.4,292.2,294.3,
2023-09-20,294.1,293.4,293.9,
2023-09-21,293.2,293.4,293.7,
2023-09-25,292.8,293.4,293.4,
2023-09-26,291.2,292.8,293.3,
2023-09-27,292.6,292.4,293.1,
2023-10-03,292.3,292.5,292.8,
2023-10-07,292.1,292.2,292.4,41.7
2023-10-21,289.7,289.7,291.8,
2023-10-23,288.8,289.2,291.4,
2023-10-28,287.0,287.9,290.0,
2023-11-05,287.7,287.7,289.1,
2023-11-11,286.4,287.0,287.9,
2023-11-19,287.9,287.9,287.9,
2023-11-25,288.6,288.2,287.5,
2023-11-26,289.5,289.0,287.8,
2023-11-29,289.7,289.3,288.3,
2023-12-04,288.6,289.2,288.3,
2023-12-11,289.5,289.5,289.0,
2023-12-19,286.2,286.2,288.7,
2023-12-23,288.6,287.4,288.7,
2023-12-25,285.1,286.6,288.2,
2023-12-28,285.7,286.5,287.6,
2024-01-04,283.98,284.0,286.5,
2024-01-05,283.1,283.5,286.0,
2024-01-08,283.5,283.5,285.7,
2024-01-11,283.3,283.3,284.9,
2024-01-13,283.7,283.5,284.8,
2024-01-18,285.7,284.7,284.7,
2024-01-24,286.4,286.0,284.4,
2024-01-29,286.8,286.6,284.6,
2024-01-30,286.8,286.7,284.8,
2024-02-02,284.6,286.1,284.8,
2024-02-08,284.0,284.3,285.2,
2024-02-09,285.7,284.8,285.2,
2024-02-16,282.6,282.6,285.3,
2024-02-18,283.7,283.2,285.1,
2024-02-24,283.3,283.5,284.7,
2024-02-28,284.8,284.0,284.4,
2024-03-05,282.6,283.7,283.8,
2024-03-13,282.6,282.6,283.3,
2024-03-14,281.8,282.2,283.1,
2024-03-15,281.8,282.1,282.9,
2024-03-16,281.1,281.8,282.7,
2024-03-18,278.7,281.2,282.3,
2024-03-21,278.2,280.0,281.7,
2024-03-22,277.1,278.8,281.2,
2024-03-23,276.7,277.7,280.8,
2024-03-26,276.5,277.1,280.2,
2024-03-29,275.6,276.3,279.3,
2024-04-02,275.35,275.5,279.0,
2024-04-05,275.4,275.4,278.4,
2024-04-07,273.8,274.8,278.0,
2024-04-10,271.5,273.6,277.6,
2024-04-11,270.7,272.8,277.1,
2024-04-12,271.85,272.0,276.4,
2024-04-14,269.0,270.8,275.1,
2024-04-18,271.2,270.7,274.1,
2024-04-25,275.4,275.4,273.0,
2024-04-26,270.7,273.0,272.8,
2024-04-30,275.8,274.0,272.8,
2024-05-01,267.0,272.2,272.3,
2024-05-02,268.5,270.5,271.7,
2024-05-04,270.3,270.4,271.6,
2024-05-08,269.8,269.5,271.0,
2024-05-19,271.0,271.0,271.1,
2024-06-01,276.7,276.7,272.0,
2024-06-11,277.1,277.1,274.9,
2024-06-15,276.5,276.8,275.3,
2024-06-16,275.4,276.3,275.3,
2024-06-17,274.9,276.0,275.3,
2024-06-18,276.9,275.9,276.2,
2024-06-20,276.7,276.1,276.3,
2024-06-22,275.34,275.8,276.2,
2024-06-23,275.15,275.8,276.1,
2024-06-24,274.9,275.8,276.0,
2024-06-25,274.9,275.4,275.9,
2024-06-26,275.5,275.4,275.8,
2024-06-30,276.5,275.4,275.9,
2024-07-02,275.4,275.8,275.8,
2024-07-07,277.6,276.5,275.9,
2024-07-17,281.1,281.1,276.4,
2024-07-20,277.8,279.5,276.4,
2024-07-22,279.55,279.5,276.8,
2024-07-23,279.6,279.5,277.3,
2024-07-27,281.5,280.2,278.6,
2024-07-28,279.6,280.1,278.7,
2024-07-30,279.8,280.3,279.1,
2024-07-31,279.3,280.0,279.1,
2024-08-01,278.65,279.8,279.4,
2024-08-02,276.9,279.3,279.2,
2024-08-06,277.6,278.1,279.2,
